Country/Territory;Code;1996;1996;1996;1996;1996;1996;1998;1998;1998;1998;1998;1998;2000;2000;2000;2000;2000;2000;2002;2002;2002;2002;2002;2002;2003;2003;2003;2003;2003;2003;2004;2004;2004;2004;2004;2004;2005;2005;2005;2005;2005;2005;2006;2006;2006;2006;2006;2006;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022
Indicator;;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper
Argentina;ARG;0,08;0,19;9,00;54,27;43,22;62,31;-0,04;0,19;9,00;50,50;41,50;60,00;-0,21;0,16;9,00;43,28;36,82;51,74;-0,76;0,17;10,00;27,36;16,92;38,31;-0,78;0,17;11,00;26,37;16,42;38,81;-0,77;0,17;12,00;25,48;16,35;36,54;-0,56;0,16;12,00;34,45;23,44;44,02;-0,58;0,15;15,00;34,45;24,40;44,50;-0,60;0,15;15,00;33,97;22,01;44,50;-0,70;0,15;15,00;27,88;18,75;39,42;-0,69;0,14;17,00;30,33;18,01;41,23;-0,60;0,14;17,00;32,70;24,17;43,13;-0,56;0,13;18,00;33,33;25,35;44,60;-0,62;0,14;18,00;32,39;23,00;42,72;-0,66;0,14;17,00;32,39;19,25;41,78;-0,87;0,16;15,00;19,71;10,10;31,73;-0,75;0,15;15,00;26,67;13,81;36,67;-0,32;0,16;14,00;42,38;30,48;51,90;-0,24;0,15;14,00;45,71;32,38;53,81;-0,22;0,15;14,00;46,67;34,29;54,29;-0,43;0,15;14,00;37,14;26,19;48,10;-0,49;0,15;13,00;34,29;24,29;44,76;-0,48;0,16;12,00;34,29;23,81;45,71;-0,48;0,16;12,00;34,91;23,58;44,34
Armenia;ARM;-0,47;0,26;5,00;37,69;21,11;48,24;-0,38;0,24;6,00;40,00;26,00;52,00;-0,50;0,22;7,00;36,32;26,37;47,76;-0,44;0,21;9,00;38,81;25,87;48,76;-0,30;0,21;9,00;44,28;29,35;53,73;-0,48;0,20;10,00;38,46;21,63;47,60;-0,39;0,18;12,00;40,67;31,10;50,24;-0,54;0,15;16,00;35,89;25,36;45,93;-0,50;0,15;16,00;37,80;26,79;46,89;-0,34;0,14;16,00;44,23;34,62;52,40;-0,47;0,14;16,00;40,76;29,86;47,39;-0,48;0,13;16,00;37,91;28,91;46,92;-0,44;0,13;16,00;41,78;30,52;48,83;-0,42;0,13;17,00;42,25;31,92;49,30;-0,34;0,13;16,00;45,07;34,74;52,11;-0,42;0,15;14,00;38,46;29,33;49,04;-0,46;0,15;14,00;38,57;28,10;47,62;-0,16;0,17;11,00;49,05;35,71;58,10;-0,21;0,16;11,00;46,19;32,86;55,24;-0,20;0,15;11,00;48,10;35,24;55,24;-0,18;0,15;11,00;48,57;36,67;54,76;-0,13;0,15;10,00;49,52;40,00;55,24;-0,12;0,16;9,00;48,57;39,05;55,24;-0,17;0,17;9,00;46,23;37,74;54,72
American Samoa;ASM;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,84;0,35;1,00;74,52;58,65;90,38;1,11;0,37;1,00;84,69;64,59;94,74;1,07;0,41;1,00;85,17;62,68;93,78;1,09;0,38;1,00;84,69;63,16;92,82;1,12;0,36;1,00;85,10;65,87;93,27;1,13;0,40;1,00;85,31;63,51;96,21;1,11;0,41;1,00;84,83;63,51;95,73;1,09;0,41;1,00;84,98;62,91;96,24;1,10;0,40;1,00;85,45;64,32;94,84;1,10;0,39;1,00;85,45;64,79;94,84;1,41;0,52;1,00;87,98;72,12;100,00;1,29;0,50;1,00;86,67;67,62;100,00;1,28;0,51;1,00;87,14;66,67;100,00;1,29;0,48;1,00;86,67;68,10;100,00;1,30;0,48;1,00;87,14;68,57;100,00;1,27;0,49;1,00;87,14;66,67;100,00;1,12;0,52;1,00;84,29;59,52;99,52;1,14;0,50;1,00;85,24;60,48;99,52;1,22;0,46;1,00;86,32;66,04;100,00
Antigua and Barbuda;ATG;1,05;0,39;2,00;82,91;62,31;94,97;1,05;0,36;2,00;84,00;64,00;93,50;1,03;0,31;2,00;84,58;64,18;92,54;1,03;0,36;2,00;83,08;64,18;93,03;1,04;0,34;2,00;83,58;64,68;93,03;0,91;0,32;3,00;78,37;61,06;91,83;0,66;0,33;3,00;69,38;56,46;86,60;0,92;0,34;3,00;78,47;60,77;90,43;0,89;0,34;3,00;79,90;59,33;89,95;0,94;0,32;3,00;80,77;60,58;89,90;0,97;0,35;3,00;81,04;62,09;91,00;0,95;0,37;3,00;80,09;62,09;91,00;0,94;0,36;3,00;78,40;62,44;90,14;0,95;0,35;3,00;78,40;62,91;90,14;0,83;0,34;3,00;73,71;60,09;88,26;-0,18;0,47;2,00;49,52;15,87;73,08;0,55;0,35;3,00;70,00;56,67;83,33;0,47;0,31;4,00;68,57;52,38;80,95;0,41;0,30;4,00;65,24;51,43;78,10;0,38;0,32;3,00;64,29;50,00;77,14;0,36;0,32;3,00;62,38;49,05;78,57;0,41;0,34;3,00;64,29;48,10;80,95;0,30;0,33;3,00;60,00;45,71;77,14;0,39;0,31;3,00;61,79;48,58;78,77
Australia;AUS;1,71;0,19;8,00;96,48;89,95;100,00;1,76;0,20;8,00;96,50;91,00;100,00;1,72;0,16;8,00;95,02;91,04;100,00;1,77;0,18;8,00;95,52;90,05;100,00;1,84;0,18;9,00;96,02;92,54;100,00;1,80;0,17;9,00;95,67;92,31;100,00;1,71;0,17;9,00;95,22;90,91;100,00;1,76;0,17;10,00;94,26;90,43;100,00;1,74;0,17;10,00;94,26;90,43;100,00;1,76;0,17;10,00;95,19;90,38;100,00;1,73;0,16;11,00;94,79;90,52;100,00;1,76;0,16;11,00;94,79;90,52;100,00;1,73;0,14;12,00;95,77;90,14;100,00;1,76;0,15;12,00;95,77;90,14;100,00;1,77;0,15;12,00;95,77;90,14;100,00;1,92;0,16;11,00;96,15;90,38;100,00;1,79;0,16;11,00;94,76;90,00;99,52;1,72;0,17;10,00;94,76;88,57;99,52;1,64;0,16;10,00;93,33;87,62;99,05;1,67;0,16;10,00;92,86;88,57;99,52;1,69;0,16;10,00;93,33;89,05;99,52;1,61;0,15;9,00;91,90;88,57;99,05;1,64;0,16;9,00;92,38;87,62;99,05;1,51;0,17;9,00;91,04;86,32;99,06
Austria;AUT;1,81;0,19;8,00;97,49;91,96;100,00;1,80;0,20;8,00;97,50;92,00;100,00;1,81;0,16;9,00;98,01;92,54;100,00;1,86;0,18;9,00;97,51;92,54;100,00;1,85;0,18;9,00;96,52;92,54;100,00;1,82;0,17;9,00;96,15;92,31;100,00;1,85;0,17;9,00;97,61;91,87;100,00;1,90;0,17;10,00;98,56;92,82;100,00;1,94;0,17;10,00;99,52;92,82;100,00;1,91;0,17;10,00;98,56;92,31;100,00;1,78;0,16;11,00;96,21;91,00;100,00;1,80;0,15;12,00;96,68;91,00;100,00;1,80;0,14;13,00;96,71;90,61;100,00;1,86;0,15;13,00;97,65;91,08;100,00;1,83;0,15;13,00;97,65;91,55;100,00;1,94;0,16;12,00;96,63;90,38;100,00;1,81;0,16;12,00;96,19;90,00;100,00;1,76;0,17;11,00;95,71;89,52;100,00;1,80;0,16;11,00;97,14;90,48;100,00;1,85;0,15;11,00;98,57;91,90;100,00;1,86;0,16;11,00;98,57;92,38;100,00;1,77;0,15;10,00;97,14;90,95;99,52;1,75;0,16;10,00;97,14;90,48;99,52;1,71;0,16;10,00;95,75;89,62;100,00
Azerbaijan;AZE;-1,20;0,20;6,00;13,07;5,03;21,11;-1,12;0,20;7,00;15,00;6,00;26,00;-1,15;0,17;8,00;14,43;4,48;24,88;-0,96;0,18;9,00;18,91;9,45;32,34;-0,88;0,18;10,00;22,39;11,94;33,83;-0,90;0,17;11,00;19,71;12,98;33,17;-0,79;0,15;14,00;26,79;16,27;34,45;-0,89;0,15;16,00;21,53;11,48;30,62;-0,88;0,15;16,00;21,53;11,96;31,10;-0,84;0,15;15,00;22,12;12,98;34,13;-0,88;0,13;16,00;20,38;13,74;30,81;-0,89;0,13;16,00;21,33;12,32;29,86;-0,94;0,13;15,00;17,84;11,74;28,64;-0,88;0,14;15,00;21,60;12,21;31,92;-0,76;0,14;14,00;26,29;16,43;37,09;-0,70;0,15;13,00;28,37;16,35;37,98;-0,72;0,15;13,00;28,10;14,76;38,10;-0,54;0,17;11,00;31,90;19,52;45,24;-0,58;0,16;11,00;31,43;20,48;40,48;-0,62;0,15;11,00;28,57;19,05;39,52;-0,61;0,15;11,00;28,10;20,00;40,00;-0,73;0,15;9,00;24,29;16,67;34,76;-0,61;0,16;9,00;30,00;21,43;40,95;-0,62;0,17;8,00;25,94;19,81;40,09
Burundi;BDI;-1,42;0,32;4,00;7,54;0,00;21,11;-1,38;0,30;4,00;8,50;1,00;21,50;-1,57;0,29;3,00;2,99;0,00;15,92;-1,40;0,29;5,00;6,47;0,00;20,90;-1,48;0,29;5,00;5,47;0,00;16,92;-1,48;0,26;7,00;5,77;0,00;16,35;-1,13;0,20;9,00;13,40;6,70;25,36;-0,98;0,16;12,00;18,18;9,57;27,27;-1,08;0,16;13,00;12,92;6,70;23,44;-1,04;0,15;13,00;15,38;8,17;24,04;-1,16;0,15;13,00;11,37;4,27;18,01;-1,21;0,15;12,00;10,43;4,27;17,06;-1,15;0,14;13,00;12,21;5,16;18,78;-1,08;0,14;14,00;13,15;7,04;23,00;-1,08;0,14;15,00;14,08;6,57;22,07;-0,97;0,15;14,00;14,90;7,21;26,44;-1,19;0,15;14,00;10,00;4,76;16,19;-1,48;0,16;13,00;6,67;2,38;9,52;-1,41;0,16;11,00;6,67;4,29;10,48;-1,51;0,15;11,00;5,71;2,86;8,10;-1,45;0,15;11,00;5,71;4,29;9,05;-1,34;0,15;10,00;6,67;4,76;13,33;-1,31;0,16;9,00;8,10;5,24;15,24;-1,28;0,16;9,00;9,91;5,19;17,45
Belgium;BEL;1,37;0,19;8,00;89,95;82,41;94,97;1,22;0,20;8,00;87,00;80,00;92,00;1,31;0,16;9,00;89,05;84,58;93,03;1,34;0,18;9,00;89,05;83,08;93,53;1,33;0,18;9,00;89,05;83,08;93,03;1,31;0,17;9,00;88,94;83,17;92,79;1,26;0,17;9,00;88,52;82,30;91,39;1,22;0,17;10,00;89,00;78,47;90,43;1,32;0,17;10,00;89,00;82,78;91,39;1,34;0,17;10,00;89,42;83,65;91,83;1,38;0,16;11,00;88,63;83,89;92,42;1,42;0,15;12,00;90,05;85,78;92,89;1,43;0,14;13,00;90,14;86,38;92,96;1,45;0,15;13,00;90,14;86,38;92,49;1,46;0,15;13,00;90,14;86,38;94,37;1,55;0,16;12,00;88,94;86,06;92,79;1,46;0,16;12,00;88,10;84,29;92,38;1,39;0,17;11,00;88,57;84,76;92,86;1,32;0,16;11,00;87,62;82,38;91,43;1,34;0,15;11,00;87,62;83,81;90,95;1,34;0,16;10,00;87,62;82,38;92,38;1,33;0,15;9,00;87,62;83,33;91,43;1,29;0,16;10,00;87,62;82,38;90,95;1,35;0,16;10,00;88,21;83,02;92,92
Benin;BEN;0,05;0,32;4,00;53,27;37,19;66,33;0,05;0,30;4,00;54,00;37,50;65,00;-0,18;0,26;5,00;46,27;32,34;58,71;-0,26;0,25;6,00;45,27;32,34;57,71;-0,43;0,25;6,00;40,80;23,38;51,24;-0,48;0,23;8,00;39,42;20,67;50,00;-0,53;0,17;11,00;35,41;24,88;44,98;-0,53;0,14;15,00;37,32;25,84;45,93;-0,51;0,14;15,00;36,84;26,32;46,89;-0,53;0,14;15,00;36,54;24,52;45,67;-0,65;0,14;14,00;31,28;19,91;41,71;-0,67;0,14;14,00;30,33;20,38;39,81;-0,66;0,13;14,00;30,52;22,07;41,31;-0,57;0,14;14,00;34,74;25,82;44,60;-0,57;0,14;15,00;34,74;23,94;44,60;-0,49;0,15;13,00;36,06;25,96;47,12;-0,55;0,15;14,00;33,33;23,33;44,76;-0,63;0,16;13,00;30,00;18,57;39,52;-0,64;0,15;13,00;29,52;18,57;39,05;-0,69;0,15;13,00;26,19;17,14;35,24;-0,68;0,15;13,00;26,19;18,57;36,67;-0,76;0,15;12,00;23,81;16,67;31,90;-0,63;0,15;13,00;28,10;20,95;39,05;-0,60;0,15;13,00;28,77;21,70;39,62
