Unnamed: 0,Company,Codice ISO paese,Ultimo anno disp.,"Totale valore della produzione
migl USD"
64.0,PUYANG XIN DEVELOP PETROCHEMICAL MAIN FACTORY,CN,2020.0,11494227.5104859
15.0,"SHENZHEN DIDA NANO MATERIAL TECHNOLOGY CO., LTD.",CN,2019.0,10369097.3687636
62.0,"TONGKUN GROUP CO.,LTD.",CN,2023.0,11577770.7853948
995.0,ESENTTIA S A,CO,2023.0,715360.250115657
1198.0,COLGATE PALMOLIVE COMPANIA,CO,2023.0,597481.096940394
1297.0,YARA COLOMBIA S A,CO,2023.0,550378.520403881
1350.0,GRUPO ORBIS S.A.,CO,2021.0,530563.275707663
1385.0,UNILEVER ANDINA COLOMBIA LTDA,CO,2023.0,514018.762897196
6676.0,ROLANDOS ENTERPRISES PUBLIC LTD,CY,2022.0,2822.22224593163
85.0,ORLEN UNIPETROL RPA S.R.O.,CZ,2022.0,8950300.65715313
787.0,SYNTHOS KRALUPY A.S.,CZ,2022.0,895950.343393296
1307.0,"SPOLEK PRO CHEMICKOU A HUTNI VYROBU, AKCIOVA SPOLECNOST",CZ,2022.0,544193.97680667
1393.0,"DEZA, A.S.",CZ,2022.0,511042.579621106
2016.0,SPOLANA S.R.O.,CZ,2022.0,344159.3998501
72.0,BEIERSDORF AG,DE,2023.0,10715189.8088455
96.0,COVESTRO DEUTSCHLAND AG,DE,2022.0,8074102.66294241
102.0,LANXESS AG,DE,2023.0,7501848.36673737
133.0,BASELL POLYOLEFINE GMBH,DE,2022.0,5858897.11817145
6.0,COVESTRO AG,DE,2023.0,16126377.2373199
602.0,CHR HANSEN HOLDING A/S,DK,2022.0,1224900.0
708.0,ARLA FOODS INGREDIENTS GROUP P/S,DK,2022.0,1013723.03043723
820.0,INTERNATIONAL N&H DENMARK APS,DK,2022.0,866727.826863527
1121.0,CHEMINOVA A/S,DK,2022.0,639821.120842785
1853.0,FLUGGER GROUP A/S,DK,2023.0,376336.871021852
4607.0,SPA EL SEWEDY CABLES ALGERIA,DZ,2018.0,134344.414372815
1357.0,UNILEVER ANDINA ECUADOR S.A.,EC,2022.0,528567.66298
3922.0,CHAIDE Y CHAIDE SA,EC,2022.0,164518.22108
4206.0,PINTURAS CONDOR SA,EC,2022.0,150464.24408
4808.0,COLGATE PALMOLIVE DEL ECUADOR SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL,EC,2022.0,126828.54177
6880.0,LA CAMPINA FORESTAL (STRONGFOREST) S.A.,EC,2022.0,6.0
3465.0,VNK AS,EE,2022.0,190912.848131106
1636.0,SIDI KERIR PETROCHEMICALS CO. S.A.E.,EG,2023.0,428613.793496646
2283.0,MISR PETROLEUM COMPANY,EG,2020.0,300000.0
3094.0,EGYPTIAN CHEMICAL INDUSTRIES (KIMA) S.A.E,EG,2023.0,215394.351658925
3623.0,UNILEVER MASHREQ FOR MANUFACTURING AND TRADING S.A.E,EG,2021.0,180000.0
4736.0,EL MOHANDES MOHAMMED MAHMOUD KASEM ABULKHEIR AND PARTNERS,EG,2023.0,129695.802927017
176.0,CEPSA QUIMICA SA,ES,2022.0,4550735.24441183
320.0,"BASF ESPANOLA, SLU",ES,2022.0,2457990.25328577
323.0,DOW CHEMICAL IBERICA SL,ES,2022.0,2414094.35134649
498.0,"FERTIBERIA, SA",ES,2022.0,1504624.16649938
562.0,ANTONIO PUIG SAU,ES,2019.0,1321290.1081363
214.0,KEMIRA OYJ,FI,2023.0,3748493.18227768
400.0,YARA SUOMI OY,FI,2022.0,1911028.43631148
231.0,UMICORE FINLAND OY,FI,2022.0,644280.487481952
239.0,TERRAFAME OY,FI,2022.0,629307.563865781
1910.0,OY LINDE GAS AB,FI,2022.0,365308.191529512
73.0,ARKEMA,FR,2023.0,10550544.7349548
163.0,TOTALENERGIES PETROCHEMICALS FRANCE,FR,2022.0,4918935.94602695
227.0,ARKEMA FRANCE,FR,2023.0,3597218.61438751
62.0,ORANO CHIMIE-ENRICHISSEMENT,FR,2023.0,2614430.06832409
308.0,EXXONMOBIL CHEMICAL FRANCE,FR,2022.0,2587730.14258432
41.0,JOHNSON MATTHEY PLC,GB,2023.0,16198238.5879755
34.0,INOVYN EUROPE LIMITED,GB,2022.0,5039748.2654523
35.0,INOVYN EUROPE LIMITED,GB,2022.0,5030189.84657526
33.0,RECKITT BENCKISER GROUP PLC,GB,2023.0,18606559.0238571
280.0,TRONOX HOLDINGS PLC,GB,2023.0,2850000.0
1337.0,GR. SARANTIS S.A.,GR,2023.0,533934.029623032
4179.0,AGROINVEST S.A.,GR,2022.0,151896.313537771
1039.0,POLISAN HELLAS COMMERCIAL & INDUSTRIAL SINGLE SHAREHOLDER S.A. OF PET RESIN & PREFORMS PRODUCTION,GR,2022.0,113254.733461738
5309.0,ISOMAT S.A.,GR,2022.0,109652.976313818
1079.0,RAVAGO HELLAS SINGLE MEMBER INDUSTRIAL AND COMMERCIAL SOCIETE ANONYME OF BUILDING AND INSULATION PRODUCTS,GR,2022.0,107431.710350754
3309.0,DRAGON CROWN INVESTMENTS LIMITED,HK,2023.0,200000.0
3622.0,HILLS FILM & LEATHER COMPANY LIMITED,HK,2023.0,180000.0
4556.0,GEMINI INVESTMENTS (HOLDINGS) LIMITED,HK,2023.0,136069.514557362
919.0,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,HK,2023.0,135163.503620863
5154.0,PRIOR (CHINA) COMPANY LIMITED,HK,2023.0,115222.120285034
2403.0,"PETROKEMIJA, D.D.",HR,2022.0,282478.208470345
4514.0,SAPONIA D.D.,HR,2023.0,137750.466820717
242.0,BORSODCHEM ZARTKORUEN MUKODO RESZVENYTARSASAG,HU,2022.0,3336672.34208182
426.0,MOL PETROLKEMIA ZARTKORUEN MUKODO RESZVENYTARSASAG,HU,2022.0,1776857.93907149
1094.0,PANNONIA BIO ZARTKORUEN MUKODO RESZVENYTARSASAG,HU,2022.0,656624.455612859
