Company;Report URL;Type of Report;Year Published;Industry;Geography
Biogen;https://www.biogen.com/content/dam/corporate/en_us/YIR-2020/pdfs/TCFD-Disclosure-Statement.pdf;Climate/TCFD Report;2020;Chemicals;United States of America
BMO;https://our-impact.bmo.com/wp-content/uploads/2021/01/BMO-2020-Climate-Report.pdf;Climate/TCFD Report;2020;Banks;Canada
BNP Paribas;https://cdn-group.bnpparibas.com/uploads/file/tcfd_2020_bnpparibas_en.pdf;Climate/TCFD Report;2020;Banks;France
BlackRock;https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/tcfd-report-2020-blkinc.pdf;Climate/TCFD Report;2020;Asset Managers;United States of America
AXA Investment Managers;https://realassets.axa-im.com/documents/23818/221263/AXA+IM+-TCFD+Report+Highlights+EN-+Updated+-+160720+FINAL.pdf/81815696-075e-d04e-12bb-8faa7dc4a639?t=1594975520369;Climate/TCFD Report;2020;Asset Managers;France
Bank of America;https://about.bankofamerica.com/assets/pdf/task-force-climate-financial-disclosures-report.pdf;Climate/TCFD Report;2020;Banks;United States of America
Bank of England;"https://www.bankofengland.co.uk/-/media/boe/files/annual-report/2020/climate-related-financial-disclosure-report-2019-20.pdf?la=en&#038;hash=5DA959C54540287A2E90C823807E089055E6721B";Climate/TCFD Report;2020;Banks;United Kingdom
Banque de France;https://www.banque-france.fr/sites/default/files/media/2021/03/30/rapport_ir_2020_angl.pdf;Climate/TCFD Report;2020;Banks;France
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-TCFD-Report-2020.pdf;Climate/TCFD Report;2020;Banks;United Kingdom
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2F3800520b-ce0f-4aa7-908d-3ec367b21d39_2020_climate_report_axa.pdf;Climate/TCFD Report;2020;Insurance;France
Aviva;https://www.aviva.com/sustainability/reporting/climate-related-financial-disclosure/;Climate/TCFD Report;2020;Insurance;United Kingdom
Australia and New Zealand Banking Group;https://www.anz.com.au/about-us/esg-priorities/environmental-sustainability/climate-change/;Climate/TCFD Report;2020;Banks;Australia
Aurizon;https://www.aurizon.com.au/sustainability;Climate/TCFD Report;2020;Rail Transportation;Australia
ATP;https://www.atp.dk/en/dokument/climate-2020;Climate/TCFD Report;2020;Asset Owners;Denmark
AP2;https://ap2.se/app/uploads/2021/03/TCFD-Report-2020.pdf;Climate/TCFD Report;2020;Asset Owners;Sweden
Alecta;https://www.alecta.se/globalassets/dokument/finansiella-rapporter/klimatredovisning/alecta-klimatredovisning-2020.pdf;Climate/TCFD Report;2020;Asset Owners;Sweden
AGL Energy;"https://www.agl.com.au/-/media/aglmedia/documents/about-agl/investors/results-centre/2020/pathways-to-2050_130820.pdf?la=en&#038;hash=9DC5D8FE10577CA5061ECF3A047892CB";Climate/TCFD Report;2020;Multi-Utilities;Australia
AIMCO;https://assets.ctfassets.net/lyt4cjmefjno/AEGMTeYYepLWNTYU7hcjT/1b19aad92e2249f3b0c99a310e7564f4/AIMCO-TCFD.pdf;Climate/TCFD Report;2020;Asset Managers;Canada
