"Unnamed: 0,Company,Inactive,Quoted,Branch,OwnData,Woco,Codice ISO paese,""Codice NACE Rev. 2, core code (4 cifre)"",Codice di consolidamento,Ultimo anno disp.,""Totale valore della produzione"
"migl USD"",""Numero dipendenti"
"Ultimo anno disp."""
1290.0,KAFR EL ZAYAT PESTICIDES & CHEMICALS CO. (S.A.E),No,Sì,No,No,No,EG,2020,C1,2023,74714.8663346395,604
1578.0,KAHIRA PHARMACEUTICALS & CHEMICAL INDUSTRIES CO. S.A.E,No,Sì,No,No,Sì,EG,2059,C1,2023,32725.6408320963,2032
294.0,ALMIRALL S.A,No,Sì,No,No,No,ES,2042,C1,2023,993160.08071804,1904
325.0,ERCROS SA,No,Sì,No,No,No,ES,2059,C2,2023,837840.106012344,1313
114.0,KEMIRA OYJ,No,Sì,No,No,No,FI,2059,C1,2023,3748493.18227768,4915
42.0,ARKEMA,No,Sì,No,No,Sì,FR,2013,C1,2023,10550544.7349548,20946
316.0,INTERPARFUMS,No,Sì,No,No,No,FR,2042,C1,2023,887971.768510818,334
334.0,ROBERTET SA,No,Sì,No,No,No,FR,2042,C1,2023,812786.429768562,2358
443.0,SOC D EXPLOSIFS PRODUITS CHIMIQUES,No,Sì,No,No,No,FR,2051,C1,2023,540642.487633705,2836
613.0,JACQUES BOGART SA,No,Sì,No,No,No,FR,2042,C1,2023,338603.091960907,2064
22.0,JOHNSON MATTHEY PLC,No,Sì,No,No,Sì,GB,2059,C1,2023,16198238.5879755,12255
18.0,RECKITT BENCKISER GROUP PLC,No,Sì,No,No,Sì,GB,2041,C1,2023,18606559.0238571,36051
144.0,TRONOX HOLDINGS PLC,No,Sì,No,No,No,GB,2013,C1,2023,2850000.0,6500
171.0,CRODA INTERNATIONAL PLC,No,Sì,No,No,Sì,GB,2059,C1,2023,2158029.72388268,5852
231.0,MORGAN ADVANCED MATERIALS PLC,No,Sì,No,No,No,GB,2059,C1,2023,1420517.17557907,8694
451.0,GR. SARANTIS S.A.,No,Sì,No,No,No,GR,2042,C1,2023,533934.029623032,2324
