;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
1352.;LX MMA CORPORATION;KR;2023;530.097
1353.;SHANDONG MINGSHUIDAHUA GROUP;CN;2012;529.445
1354.;HUBEI SHUANGHUAN SCIENCE AND TECHNOLOGY STOCK CO.,LTD.;CN;2023;529.403
1355.;IGL PTY LTD;NA;2012;529.223
1356.;WENGFU & ZIJIN CHEMICAL INDUSTRY CO., LTD.;CN;2022;528.696
1357.;UNILEVER ANDINA ECUADOR S.A.;EC;2022;528.568
1358.;LEE & MAN CHEMICAL COMPANY LIMITED;KY;2023;528.228
1359.;HEBEI JIHENG GROUP CO., LTD.;CN;2021;528.138
1360.;HUBEI KAILONG CHEMICAL GROUP CO.,LTD;CN;2023;527.862
1361.;SHANDONG RUNYIN BIOCHEMICAL CO., LTD.;CN;2021;527.658
1362.;PS JAPAN CORPORATION;JP;2022;526.978
1363.;ALUJAIN CORPORATION (SAUDI JOINT STOCK COMPANY);SA;2022;526.458
1364.;PIONEER COMPANIES INC;US;2006;525.705
1365.;VANTAGE OLEOCHEMICALS INC;US;2022;524.000
1366.;LUBRIZOL ADVANCED MATERIALS EUROPE;BE;2022;523.565
1367.;NATURAL ENERGY WEST GMBH;DE;2022;522.350
1368.;TIME TECHNOPLAST LTD;IN;2022;522.020
1369.;TIANJIN BOTIAN CHEMICAL INDUSTRY CO., LTD.;CN;2014;521.980
1370.;AKZO NOBEL PAINTS (SHANGHAI) LIMITED;CN;2022;521.753
1371.;SHANDONG BLUESTAR DONGDA CO., LTD.;CN;2021;521.074
1372.;JILIN CHEMICAL FIBRE CO.,LTD.;CN;2023;519.825
1373.;LEE RUBBER COMPANY (PTE) LIMITED;SG;2022;519.798
1374.;ACHILLES CORPORATION;JP;2023;519.716
1375.;LINGGU CHEMICAL GROUP CO., LTD.;CN;2019;518.942
1376.;AEKYUNG INDUSTRIAL CO.,LTD.;KR;2023;518.743
1377.;SHOEI CHEMICAL INC.;JP;2022;518.505
1378.;BAOTAILONG NEW MATERIALS CO.,LTD;CN;2023;517.383
1379.;GOWAN COMPANY, L.L.C.;US;2022;517.000
1380.;SHANDONG QIAOCHANG CHEMICAL CO., LTD.;CN;2016;516.742
1381.;LION CORPORATION (THAILAND) CO LTD;TH;2022;516.681
1382.;HUBEI ZHENHUA CHEMICAL COMPANY LIMITED;CN;2023;515.705
1383.;HUANGHUA XINNUOLIXING FINE CHEMICAL STOCK COMPANY LIMITED;CN;2021;515.445
1384.;GRAND PACIFIC PETROCHEMICAL CORPORATION;TW;2023;515.429
1385.;UNILEVER ANDINA COLOMBIA LTDA;CO;2023;514.019
1386.;PERSTORP SPECIALTY CHEMICALS AB;SE;2022;514.017
1387.;JIANGSU WANXIANG GROUP INC.;CN;2007;513.661
1388.;NIPPON SHOKUBAI EUROPE;BE;2022;513.623
1389.;SYNGENTA NANTONG CROP PROTECTION CO., LTD.;CN;2022;513.251
1390.;KRATON POLYMERS NEDERLAND B.V.;NL;2021;512.788
1391.;ZHEJIANG JIABAO NEW FIBER GROUP CO., LTD.;CN;2021;512.534
1392.;NINGBO JINHAI CHENGUANG CHEMICAL CO., LTD.;CN;2022;511.868
1393.;DEZA, A.S.;CZ;2022;511.043
1394.;HANGJIN TECHNOLOGY COMPANY LIMITED;CN;2023;510.485
1395.;TONGXIANG ZHONGCHEN CHEMICAL FIBER CO., LTD.;CN;2022;510.284
1396.;ZHEJIANG HONGSHENG CHEMICAL CO., LTD.;CN;2019;510.023
1397.;AJINOMOTO FINE-TECHNO CO.,INC.;JP;2022;509.522
1398.;ARGENT ENERGY LIMITED;GB;2022;509.403
1399.;SANJIANG CHEMICAL CO., LTD.;CN;2019;509.321
1400.;MARI PETROLEUM COMPANY LIMITED;PK;2023;508.990
1401.;ZHEJIANG HONGSHENG CHEMICAL CO., LTD.;CN;2019;508.869
1402.;TAEKYUNG INDUSTRIAL CO.,LTD.;KR;2023;508.785
1403.;GADIV PETROCHEMICAL INDUSTRIES LTD.;IL;2023;508.070
1404.;NOVAPEX;FR;2022;507.770
1405.;AZOMURES SA;RO;2022;506.556
1406.;ASIA SILICON (QINGHAI) CO., LTD.;CN;2021;505.601
1407.;KURIYAMA HOLDINGS CORPORATION;JP;2023;505.059
1408.;JIANGSU CHANGQING AGRICHEMICAL CO.,LTD.;CN;2023;503.679
1409.;TURK HENKEL KIMYA SANAYI VE TICARET ANONIM SIRKETI;TR;2014;503.482
1410.;SOBUTE NEW MATERIALS CO., LTD.;CN;2023;503.447
1411.;L'OREAL BELGILUX;BE;2022;503.239
1412.;CARDINAL ETHANOL, LLC;US;2023;502.735
1413.;HIMADRI SPECIALITY CHEMICAL LIMITED;IN;2023;502.456
1414.;INNOVA S/A;BR;2014;501.954
1415.;INNER MONGOLIA YIHUA CHEMICAL INDUSTRY CO., LTD.;CN;2022;501.924
1416.;KUMHO POLYCHEM CO.,LTD;KR;2023;501.637
1417.;FABRICA DE DETERGENTE;AO;2023;500.000
1418.;QATARGAS OPERATING COMPANY LIMITED;QA;2020;500.000
1419.;RUWAIS FERTILIZER INDUSTRIES (FERTIL);AE;2017;500.000
1420.;AIR PRODUCTS PUBLIC LIMITED COMPANY;GB;2022;499.971
1421.;SHANGHAI PETROCHEM XINIER CHEMICAL & INDUSTRY CO., LTD.;CN;2022;499.950
1422.;INNOSPEC LIMITED;GB;2023;499.924
1423.;QENOS HOLDINGS PTY LTD;AU;2022;499.895
1424.;PUBLIC JOINT STOCK COMPANY DOROGOBUZH;RU;2023;498.549
1425.;AEROPRES CORPORATION;US;2022;498.000
1426.;SOPROCOS;FR;2022;497.533
1427.;TAITA CHEMICAL COMPANY LIMITED;TW;2023;497.308
1428.;SHAANXI XINGHUA CHEMISTRY CO.,LTD;CN;2023;496.739
1429.;OSAKA SANSO KOGYO LTD;JP;2001;496.538
1430.;PHADIA AB;SE;2022;496.322
1431.;LUXI CHEMICAL GROUP CO., LTD. POWER BRANCH;CN;2019;496.227
1432.;HENKEL (CHINA) COMPANY LIMITED;CN;2022;496.127
1433.;WAFANG SHOP NORTH MINGZHU FERTILIZER CO.,LTD;CN;2021;495.934
1434.;MINNESOTA MINING MANUFACTURING SPECIAL MATERIAL (SHANGHAI) CO., LTD.;CN;2022;495.800
1435.;KANGNAM JEVISCO CO.,LTD.;KR;2023;495.416
1436.;CHEMTRADE ELECTROCHEM INC;CA;2017;494.935
1437.;DEGUSAI SPECIAL CHEMICAL ( SHANGHAI ) CO.,LTD;CN;2013;494.841
1438.;CHINA SUNSINE CHEMICAL HOLDINGS LTD;SG;2023;492.928
1439.;CHINA MAN-MADE FIBER CORPORATION;TW;2023;492.557
1440.;HUIZHOU LCY ELASTOMERS CORP.;CN;2022;492.419
1441.;JIANGSU YUANYUAN BIO-ENGINEERING CO.,LTD;CN;2014;491.516
1442.;HANGZHOU QINGYUN NEW MATERIALS CO., LTD.;CN;2021;491.282
1443.;HUBEI YIHUA FERTILIZER CO., LTD.;CN;2021;491.227
1444.;BASELL BENELUX B.V.;NL;2022;490.908
1445.;SUMITOMO CHEMICAL BRASIL INDUSTRIA QUIMICA S.A.;BR;2016;490.271
1446.;TAIWAN FERTILIZER CO., LTD.;TW;2023;490.045
1447.;SAMHWA PAINTS IND. CO.,LTD.;KR;2023;489.671
1448.;HUAQIANG CHEMICAL GROUP CO., LTD.;CN;2021;489.317
1449.;NOURYON SURFACE CHEMISTRY AB;SE;2022;489.043
1450.;HENKEL IBERICA SA;ES;2022;489.038
1451.;CAFFARO SPA;IT;1998;488.702
1452.;COSMO ADVANCED MATERIALS & TECHNOLOGY CO.,LTD.;KR;2023;488.273
1453.;MEXICHEM RESINAS COLOMBIA S A S;CO;2023;487.390
1454.;VENATOR MATERIALS UK LIMITED;GB;2021;487.285
1455.;GHARDA CHEMICALS LIMITED;IN;2022;486.535
1456.;NIPPON GASES ESPANA SLU;ES;2022;486.244
1457.;DIC GRAPHICS CORPORATION;JP;2022;485.956
1458.;ZJG GTHR NEW CHEMICAL MATERIALS CO., LTD.;CN;2022;485.918
1459.;SANATI DOODEH FAM COMPANY PUBLIC JOINT STOCK;IR;2022;485.854
1460.;JOINT STOCK COMPANY MINUDOBRENIYA;RU;2020;484.716
1461.;MANDOM CORPORATION;JP;2023;484.185
1462.;HENAN PROVINCE  ZHONGSEDONGFANGSHAOXING INDUSTRIAL CO.,LTD;CN;2014;483.728
1463.;JOWAT SE;DE;2022;483.289
1464.;SICHUAN AN COUNTRY YINHEJIANHUA GROUP CO.,LTD;CN;2012;482.772
1465.;HANGZHOULONGDACHABIEHUAJUZHI CO.,LTD;CN;2007;482.359
1466.;JOTUN COATINGS (ZHANGJIAGANG) CO., LTD.;CN;2022;482.318
1467.;SHANDONG YANGGU HUATAI CHEMICAL CO.,LTD.;CN;2023;481.907
1468.;PON PURE CHEMICAL INDIA PRIVATE LIMITED;IN;2022;481.885
1469.;SUMI AGRO EUROPE LIMITED;GB;2022;481.486
1470.;WUXI CHANG'AN POLYMER MATERIALS FACTORY CO., LTD.;CN;2022;480.475
1471.;MOLYMET BELGIUM;BE;2023;480.232
1472.;CHEMPLAST SANMAR LIMITED;IN;2023;480.180
1473.;ZHEJIANG PROVINCE SHAOXINGSANYUAN PETRIFIED CO.,LTD;CN;2007;480.025
1474.;COSWAY COMPANY, INC.;US;2022;480.000
1475.;MITSUBISHI GAS CHEMICAL SINGAPORE PTE LTD;SG;2022;479.966
1476.;EQUIPOLYMERS GMBH;DE;2022;479.866
1477.;TANGSHAN SANYOU CHLOR-ALKALI CO., LTD.;CN;2016;479.483
1478.;AKZO NOBEL INDIA LTD;IN;2023;479.455
1479.;THAI OLEOCHEMICALS CO LTD;TH;2014;479.085
1480.;SHI DAN LI HUA FEI YOU XIAN GONG SI;CN;2009;478.306
1481.;ARAKAWA CHEMICAL INDUSTRIES LTD;JP;2023;477.501
1482.;HUBEI XINGRUI SILICON MATERIALS CO., LTD.;CN;2020;476.641
1483.;TIANJIN LUGANG PETROLEUM RUBBER CO., LTD.;CN;2014;476.471
1484.;DAI NIPPON TORYO CO LTD;JP;2023;475.636
1485.;NOVAMONT S.P.A.;IT;2022;475.270
1486.;NAVOIYAZOT JSC;UZ;2022;475.259
1487.;KEYUAN PETROCHEMICALS, INC.;US;2015;474.360
1488.;ZHEJIANG KAIHUA YUANTONG SILICON INDUSTRY CO., LTD.;CN;2022;473.753
1489.;INCITEC FERTILISERS OPERATIONS PTY LTD;AU;2003;473.726
1490.;HUBERGROUP INDIA PRIVATE LIMITED;IN;2022;471.654
1491.;JINGDEZHEN KAIMENZI AGRICULTURAL CHEMICAL CO., LTD.;CN;2013;471.458
1492.;BEAUTYCOS INTERNATIONAL CO., LTD.;CN;2021;471.383
1493.;HYOSUNG CHEMICALS (JIAXING) CO., LTD.;CN;2022;471.359
1494.;HENAN TIANGUAN RANLIAO ETHANOL CO., LTD.;CN;2014;471.300
1495.;LIHENG (CHANGLE) POLYAMIDE TECHNOLOGY CO, LTD.;CN;2022;471.128
1496.;HAVE & BE CO.,LTD;KR;2020;470.880
1497.;DOW SILICONE (ZHANGJIAGANG) CO., LTD.;CN;2019;470.428
1498.;SHANXI JINYUAN COAL CHEMICAL TECHNOLOGY CO., LTD.;CN;2022;470.064
1499.;KINGBOARD (HENGYANG) INDUSTRIAL CO., LTD.;CN;2022;469.988
1500.;COLGATE-PALMOLIVE (CHINA) CO., LTD.;CN;2022;469.343
1501.;LUOHE XING MAO TITANIUM INDUSTRY CO., LTD.;CN;2014;469.335
1502.;CIBRAFERTIL COMPANHIA BRASILEIRA DE FERTILIZANTES;BR;2020;468.962
1503.;LIMITED LIABILITY COMPANY PROCTER AND GAMBLE-NOVOMOSKOVSK;RU;2023;468.351
1504.;BASF (MALAYSIA) SDN. BHD.;MY;2022;468.016
1505.;SAINT-GOBAIN ITALIA S.P.A.;IT;2022;467.982
1506.;SUZHOU XIANGCHENG DISTRICT JIANGNAN FIBER GROUP CO., LTD.;CN;2022;467.814
1507.;HUBEI CHUXING CHEMICAL CO., LTD.;CN;2021;467.578
1508.;WONG'S KONG KING INTERNATIONAL (HOLDINGS) LIMITED;BM;2023;467.574
1509.;ISDIN SA;ES;2022;467.563
1510.;FUJIFILM MANUFACTURING EUROPE B.V.;NL;2022;466.446
1511.;NINGBO JUHUA CHEMICAL & SCIENCE CO., LTD.;CN;2022;466.439
1512.;SHAANXI YANCHANG PETROLEUM XINGHUA CHEMICAL CO., LTD.;CN;2022;466.300
1513.;SAPIO PRODUZIONE IDROGENO OSSIGENO SRL;IT;2022;466.266
1514.;ZHONGYUAN DAHUA GROUP COMPANY LTD. HENAN;CN;2021;466.161
1515.;HUBEI DAYUKOU CHEMICAL CO., LTD.;CN;2022;465.906
1516.;KMG CHEMICALS INC;US;2018;465.556
1517.;ZHEJIANG SANMEI CHEMICAL INDUSTRY CO., LTD.;CN;2023;465.527
1518.;ITAFOS INC.;KY;2023;465.525
1519.;ECO MEDI GLOVE SDN. BHD.;MY;2021;465.454
1520.;INNER MONGOLIA JUNZHENG CHEMICAL CO., LTD.;CN;2014;464.518
1521.;NITRAMONIA BC S.R.L.;RO;2022;464.448
1522.;ANQING YUETONG MOLYBDENUM CO.,LTD;CN;2022;463.866
1523.;CELANESE CANADA INC;CA;1998;463.631
1524.;SHERWIN-WILLIAMS UK LIMITED;GB;2022;463.441
1525.;BIOWANZE;BE;2022;463.267
1526.;AIR FIRST CO.,LTD;KR;2023;462.828
1527.;ALLNEX GERMANY GMBH;DE;2022;462.624
1528.;TEREOS STARCH & SWEETENERS LBN;FR;2022;462.536
1529.;JOINT STOCK COMPANY KAUSTIK;RU;2022;461.477
1530.;SAINT-GOBAIN ISOVER G+H AKTIENGESELLSCHAFT;DE;2020;461.321
1531.;JIANGSU PROVINCE JIASHENG CHEMICAL PRODUCTS INDUSTRY CO.,LTD;CN;2012;460.629
1532.;SABIC INNOVATIVE PLASTICS MEXICO;MX;2022;460.277
1533.;SHANDONG JINLING CHEMICAL CO., LTD.;CN;2022;460.268
1534.;SHANDONG NHU PHARMACEUTICAL CO., LTD.;CN;2022;460.016
1535.;ZHEJIANG JIAAO ENPROTECH STOCK CO.,LTD.;CN;2022;459.699
1536.;YOUTH CHEMICAL CO., LTD.;CN;2022;459.090
1537.;YUNNAN YUNTIANHUA INTERNATIONAL CHEMICAL INDUSTRY INCORPORATED CORPORATION SANHUAN BRANCH COMPANY (XISHAN DISTRICT );CN;2008;459.038
1538.;JOINT STOCK COMPANY SAYANSKCHIMPLAST;RU;2021;458.672
1539.;DOW CHEMICAL COMPANY LIMITED;GB;2022;458.462
1540.;GUIYANG KAILIN FERTILIZER CO., LTD.;CN;2021;458.179
1541.;CHONGQING CHUANDONG CHEMICAL (GROUP) CO., LTD.;CN;2022;458.148
1542.;SUN CHEMICAL;BE;2022;458.095
1543.;GREENSTAR FERTILIZERS LIMITED;IN;2022;458.062
1544.;SHANDONG LUBA CHEMICAL CO.,LTD.;CN;2021;457.785
1545.;JURONG NINGWU NEW MATERIAL CO., LTD.;CN;2021;457.414
1546.;PT AVIA AVIAN TBK;ID;2023;456.273
1547.;JOHNSON & JOHNSON SANTE BEAUTE FRANCE;FR;2022;456.237
1548.;JILIN QIFENG CHEMICAL FIBER CO., LTD.;CN;2022;455.926
1549.;LUXI CHEMICAL GROUP CO., LTD. COAL CHEMICAL NO. 1 BRANCH;CN;2019;455.716
1550.;LIMITED LIABILITY COMPANY EUROCHEM-BELORECHENSKIE MINUDOBRENIA;RU;2022;455.252
1551.;NAPHTACHIMIE;FR;2022;454.657
1552.;EIGENMANN & VERONELLI S.P.A.;IT;2022;454.610
1553.;BOLTON MANITOBA S.P.A.;IT;2023;454.462
1554.;NANJING RED SUN CO.,LTD.;CN;2023;454.227
1555.;HUNAN RESUN CO.,LTD.;CN;2023;454.203
1556.;INDORAMA VENTURES POLIMEROS S.A.;BR;2020;454.055
1557.;WR MEADOWS INC;US;2022;453.000
1558.;SHANDONG BEFAR GROUP DONGRUI CHEMICAL CO., LTD.;CN;2022;452.770
1559.;NIPPON PAINT (CHINA) CO., LTD.;CN;2022;452.692
1560.;SOLVAY (ZHANGJIAGANG) SPECIALTY CHEMICALS CO., LTD.;CN;2021;451.819
1561.;ADISSEO ESPANA SA;ES;2022;451.293
1562.;GUKDO CHEMICALS (GONSAN)YUHAN PUBLIC CORPORATION;KR;2005;451.037
1563.;LINGBAO JINYUAN CHENGUANG COLORED MINING AND METALLURGY CO., LTD.;CN;2013;450.918
1564.;DEZHOU SHIHUA CHEMICAL INDUSTRY CO., LTD.;CN;2020;450.256
1565.;KASHIMA VINYLCHLORIDE MONOMER C.L.D;JP;2022;450.097
1566.;AB ACHEMA;LT;2023;449.790
1567.;YANGMEI GROUP ZIBO QILU FIRST CHEMICAL FERTILIZER CO., LTD.;CN;2014;449.758
1568.;CHINA GENERAL PLASTICS CORPORATION;TW;2023;449.419
1569.;TEVA ITALIA S.R.L.;IT;2022;449.413
1570.;GUANGZHOU DONGCHUAN CHEMICAL CO., LTD.;CN;2019;448.534
1571.;CP GABA GMBH;DE;2022;448.342
1572.;XINGTAI XUYANG COAL CHEMICAL CO., LTD.;CN;2020;448.165
1573.;XUZHOU CHONGDE CHEMICAL ACCESSORY INGREDIENT FACTORY;CN;2014;447.855
1574.;FUMAKILLA LTD;JP;2023;447.418
1575.;TAOSHIDINGBENJIAORU( ZHANGJIAGANG ) CO.,LTD;CN;2012;447.152
1576.;ENF TECHNOLOGY CO.,LTD.;KR;2023;445.760
1577.;COMPTOIR NOUVEAU DE LA PARFUMERIE;FR;2022;445.707
1578.;ALLNEX BELGIUM;BE;2022;445.632
1579.;SHENZHEN BATIAN ECOTYPIC ENGINEERING CO.,LTD.;CN;2023;445.514
1580.;KOPPERT BEHEER B.V.;NL;2022;445.102
1581.;ANCOM NYLEX BERHAD;MY;2023;445.070
1582.;JIANGSU HSINTAI CHEMICAL S&T CO., LTD.;CN;2021;444.875
1583.;OITA CANON MATERIALS INC.;JP;2022;444.787
1584.;AKZO NOBEL COATINGS SPA;IT;2022;444.783
1585.;SHIKOKU KASEI HOLDINGS CORPORATION;JP;2023;444.768
1586.;POLIPLAST NOVOMOSKOVSK;RU;2023;444.696
1587.;JIANGSU KANGTAI FLUORINE CHEMICAL CO.,LTD;CN;2012;444.161
1588.;LANZHOU ALUMINIUM COMPANY LIMITED;CN;2006;444.019
1589.;RADICI CHIMICA S.P.A.;IT;2022;443.996
1590.;HENAN JUNHUA DEVELOPMENT CO., LTD.;CN;2021;443.388
1591.;SATERI (JIANGXI) CHEMICAL FIBRE CO., LTD.;CN;2017;443.238
1592.;MANGALORE CHEMICALS & FERTILZERS LIMITED;IN;2022;443.060
1593.;INEOS CHEMICALS GRANGEMOUTH LIMITED;GB;2022;442.763
1594.;PPG AC-FRANCE;FR;2022;442.250
1595.;DOW ORGANIC SILICON (ZHANGJIAGANG) CO., LTD.;CN;2022;441.925
1596.;BEL STAR S A;CO;2023;441.693
1597.;HENKEL LOCTITE (CHINA) CO., LTD.;CN;2021;441.576
1598.;BASF AUSTRALIA LTD.;AU;2022;441.556
1599.;ECOGREEN INTERNATIONAL GROUP LIMITED;KY;2021;440.323
1600.;GUANGDONG TIANAN NEW MATERIAL CO., LTD.;CN;2023;440.095
1601.;KAO INDUSTRIAL (THAILAND) CO LTD;TH;2022;439.778
1602.;GROUP OF COMPANIES TITAN JOINT STOCK COMPANY;RU;2021;439.544
1603.;TONGSHAN GUANGMING METAL ADDITIVE FACTORY;CN;2014;439.434
1604.;SHANDONG HONGDA CHEMICAL CO., LTD.;CN;2022;439.277
1605.;LINGXIAN LVYUAN CHEMICAL CO., LTD.;CN;2014;438.004
1606.;BTA OIL PRODUCERS, LLC;US;2022;438.000
1607.;ZHONGYUAN PETROCHEMICAL.CORP.LTD;CN;2009;437.959
1608.;HEFEI FENGLE SEED CO.,LTD;CN;2023;437.428
1609.;THAIPOLYETHYLENE CO LTD;TH;2003;437.344
1610.;JIANGSU HUAYA FIBER CO., LTD.;CN;2022;437.336
1611.;TOTALENERGIES OLEFINS ANTWERP;BE;2023;436.591
1612.;WEIFANG BINHAI PETRO-CHEM CO., LTD.;CN;2022;436.145
1613.;FATTY CHEMICAL (MALAYSIA) SDN BHD;MY;2022;436.117
1614.;KANEKA BELGIUM;BE;2022;436.025
1615.;JIANGSU MEILAN CHEMICAL INDUSTRY GROUP CO., LTD.;CN;2014;435.643
1616.;PPG CIESZYN S.A.;PL;2022;435.439
1617.;TIANJIN LG BOHAI CHEMICAL COMPANY LIMITED;CN;2019;435.208
1618.;COSMAX CHINA, INC.;CN;2021;434.205
1619.;BAYER TURK KIMYA SANAYII LIMITED SIRKETI;TR;2017;434.161
1620.;QUIMPAC S.A.;PE;2023;434.082
1621.;BAYER S A;CO;2023;432.938
1622.;TPT PETROCHEMICALS PCL;TH;2022;432.427
1623.;PRODUCTOS CAPILARES L'OREAL SA;ES;2022;432.360
1624.;THAI POLYCARBONATE CO LTD;TH;2022;431.527
1625.;JIANGSU CHENGXING PHOSPH-CHEMICAL CO.,LTD.;CN;2023;431.249
1626.;AMERICAN POLYMERS CORP.;US;2022;431.000
1627.;SOCIEDAD ESPANOLA DE CARBUROS METALICOS SA;ES;2022;430.946
1628.;COMPANIA AGROPECUARIA COPEVAL S.A.;CL;2023;430.497
1629.;LALEH PETROCHEMICAL COMPANY;IR;2016;429.758
1630.;AXALTA COATING SYSTEMS (SHANGHAI) COMPANY LIMITED;CN;2022;429.589
1631.;SUMITOMO CHEMICAL INDIA LIMITED;IN;2022;429.459
1632.;DAIKIN FLUOROCHEMICALS (CHINA) CO., LTD.;CN;2022;429.280
1633.;BIO-OILS HUELVA SL;ES;2022;429.251
1634.;BINGTUANNONGBASHISHIHEZIKAIFAQUTIANYE CHEMICAL INDUSTRY CO.,LTD;CN;2010;428.806
1635.;STOHAAS MONOMER OHG;DE;2015;428.666
1636.;SIDI KERIR PETROCHEMICALS CO. S.A.E.;EG;2023;428.614
1637.;KANTO DENKA KOGYO CO., LTD.;JP;2023;428.218
1638.;SHAANXI SHENMU COAL CHEMICAL INDUSTRY GROUP TIANYUAN CHEMICAL CO., LTD.;CN;2018;427.885
1639.;NIHON TOKUSHU TORYO CO LTD;JP;2023;427.722
1640.;HANGZHOU HONGSHAN CHEMICAL FIBRE CO., LTD.;CN;2013;427.293
1641.;CLARIANT SOUTHERN AFRICA (PTY) LTD;ZA;2016;427.273
1642.;CHONGQING CARBINOL CHEMICAL INDUSTRY CO., LTD.;CN;2022;427.104
1643.;DUPONT APOLLO (SHENZHEN) LIMITED;CN;2022;426.612
1644.;PPG COATINGS BELGIUM;BE;2023;426.028
1645.;AIRBOSS OF AMERICA CORP.;CA;2023;426.025
1646.;TNEMEC COMPANY, INC;US;2022;426.000
1647.;LIMITED LIABILITY COMPANY RUSVINYL;RU;2023;425.776
1648.;JIANGSU LULING CHEMICAL INDUSTRY GROUP CO., LTD.;CN;2014;425.523
1649.;PETRONAS CHEMICALS FERTILISER SABAH SDN. BHD.;MY;2022;425.490
1650.;SOCIETA' ITALO BRITANNICA L.MANETTI-H.ROBERTS & C. PER AZIONI IN FORMA ABBREVIATA L.MANETTI-H.ROBERTS S.P.A. O M&R S.P.A.;IT;2023;425.437
1651.;YIBIN HAIFENG HERUI CO., LTD.;CN;2015;425.347
1652.;JIANGSU TAIBAI GROUP CO., LTD.;CN;2014;425.140
1653.;OMNI INDUSTRIES LLC;US;2022;425.000
1654.;MONUMENT CHEMICAL;BE;2022;424.901
1655.;QINGHAIYANHU INDUSTRY GROUP CO.,LTD;CN;2007;424.846
1656.;SODA NIKKA CO., LTD.;JP;2023;424.026
1657.;SHIN-ETSU SILICONES (THAILAND) LTD;TH;2022;423.936
1658.;MOSAIC FERTILIZERS (BEIJING) CO., LTD.;CN;2021;422.937
1659.;SICHUAN HONGDA CO.,LTD;CN;2023;422.903
1660.;HUIZHOU YUXIN CHEMICAL CO., LTD.;CN;2017;422.558
1661.;JUNHUA ECOLOGICAL ENGINEERING CO., LTD.;CN;2017;421.828
1662.;JIANGXI JIANGLI SCI-TECH CO., LTD.;CN;2014;421.632
1663.;SIEGWERK DRUCKFARBEN AG & CO. KGAA;DE;2022;421.399
1664.;CIN - CORPORACAO INDUSTRIAL DO NORTE, S.A.;PT;2022;421.063
1665.;NANTONG ACETIC ACID CHEMICAL CO.,LTD.;CN;2023;420.891
1666.;QINGHAI YIHUA CHEMICAL INDUSTRY CO., LTD.;CN;2021;420.840
1667.;CAPSUGEL BELGIUM;BE;2022;420.779
1668.;AFRICAN OXYGEN LIMITED;ZA;2018;420.612
1669.;CHEMTRONICS CO.,LTD.;KR;2023;420.550
1670.;MADRAS FERTILIZERS LIMITED;IN;2022;420.005
1671.;GOYAL PROTEINS LIMITED;IN;2022;419.984
1672.;JOINT STOCK COMPANY AUGUST INC. SOCIEDAD ANONIMA CERREDA FIRMA AVGUST;RU;2020;419.912
1673.;NAMICS CORPORATION;JP;2022;419.688
1674.;YIP'S CHEMICAL HOLDINGS LIMITED;KY;2023;419.218
1675.;XUZHOU TIANYONG CHEMICAL INDUSTRY CO.,LTD;CN;2013;418.444
1676.;NOURYON FUNCTIONAL CHEMICALS AB;SE;2022;417.361
1677.;DKS CO LTD;JP;2023;417.309
1678.;NIHON KOLMAR CO.,LTD.;JP;2022;416.841
1679.;KAO CHEMICALS GMBH;DE;2022;416.814
1680.;LANGFANG NIPPON PAINT CO., LTD.;CN;2021;416.349
1681.;TANGSHAN RISUN AROMATIC HYDROCARBON LIMITED;CN;2022;416.215
1682.;ZHUHAI CELLULOSE FIBERS COMPANY LIMITED;CN;2022;416.149
1683.;ASTELLAS PHARMA GMBH;IE;2005;415.261
1684.;GUIZHOU ANDA ENERGY TECHNOLOGY CO., LTD;CN;2023;415.030
1685.;XINJIANG TIANYE INCORPORATED CORPORATION (MU COMPANY );CN;2014;415.017
1686.;TC HEARTLAND LLC;US;2022;415.000
1687.;GUANGZHOU LUSHAN NEW MATERIALS CO., LTD.;CN;2023;414.597
1688.;TUNTEX PETROCHEMICALS INC;TW;2012;414.488
1689.;CONG TY CO PHAN PHAN PHOI KHI THAP AP DAU KHI VIET NAM;VN;2023;414.426
1690.;FIBER INTERMEDIATE PRODUCTS COMPANY PUBLIC JOINT STOCK;IR;2023;414.424
1691.;RED AVENUE NEW MATERIALS GROUP CO., LTD.;CN;2023;413.874
1692.;ZHEJIANG HUAFON TPU CO., LTD.;CN;2021;413.350
1693.;OIL-DRI CORPORATION OF AMERICA;US;2023;413.021
1694.;OURO FINO QUIMICA S.A.;BR;2023;412.744
1695.;TIANJIN KINGFA ADVANCED MATERIALS CO., LTD.;CN;2021;412.717
1696.;HUBERGROUP DEUTSCHLAND GMBH;DE;2017;412.559
1697.;COFCO BIO-ENERGY (ZHAODONG) CO., LTD.;CN;2022;412.444
1698.;LUCKY CORE INDUSTRIES LIMITED;PK;2023;412.306
1699.;DONGSUNG FINETEC CO.,LTD.;KR;2023;412.136
1700.;LONGYAN ZHUOYUE NEW ENERGY CO., LTD.;CN;2023;411.104
1701.;HUNTSMAN (SINGAPORE) PTE LTD;SG;2022;411.008
1702.;DYMATIC CHEMICALS INC.;CN;2023;409.059
1703.;CONG TY CO PHAN TAP DOAN HOA CHAT DUC GIANG;VN;2023;408.448
1704.;BASF SONATRACH PROPANCHEM SA;ES;2022;407.616
1705.;SHERWIN-WILLIAMS ITALY S.R.L.;IT;2022;406.654
1706.;JIANGSU XINSU CHEMICAL FIBER CO., LTD.;CN;2022;406.384
1707.;FOOSUNG CO.,LTD.;KR;2023;405.764
