;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
85.;ORLEN UNIPETROL RPA S.R.O.;CZ;2022;8.950.301
86.;PINGXIANG MASHAN FUZHISUAN CHEMICAL CO., LTD.;CN;2017;8.944.890
87.;HANWHA TOTALENERGIES PETROCHEMICAL CO., LTD;KR;2023;8.904.654
88.;MARUN PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2022;8.823.620
89.;ZHUHAI JIEMEIYUAN CHEMICAL CO., LTD. AUXILIARY FACTORY;CN;2016;8.740.625
90.;PARDIS PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2023;8.407.955
91.;NIPPON SANSO HOLDINGS CORPORATION;JP;2023;8.389.712
92.;ARYA SASOL POLYMER COMPANY PUBLIC JOINT STOCK;IR;2023;8.350.041
93.;FUJIAN HENGSHEN HEXIAN TECHNOLOGY CO., LTD.;CN;2021;8.305.183
94.;GIVAUDAN SA;CH;2023;8.266.175
95.;TAMINCO US INC.;US;2014;8.236.000
96.;COVESTRO DEUTSCHLAND AG;DE;2022;8.074.103
97.;LONZA GROUP AG;CH;2023;8.043.569
98.;SINOCHEM INTERNATIONAL CORPORATION;CN;2023;7.606.289
99.;ICL GROUP LIMITED;IL;2023;7.557.000
100.;ISRAEL CORPORATION LIMITED;IL;2023;7.557.000
101.;SOCIEDAD QUIMICA Y MINERA DE CHILE S.A.;CL;2023;7.527.305
102.;LANXESS AG;DE;2023;7.501.848
103.;CNOOC AND SHELL PETROCHEMICALS COMPANY LIMITED;CN;2022;7.469.461
104.;HINDUSTAN UNILEVER LIMITED;IN;2023;7.423.906
105.;CHUNG FU DYESTUFFS CO., LTD.;TW;2011;7.415.703
106.;CLOROX CO;US;2023;7.389.000
107.;BAYER CROPSCIENCE AKTIENGESELLSCHAFT;DE;2012;7.345.871
108.;DIC CORPORATION;JP;2023;7.319.681
109.;RPM INTERNATIONAL INC.;US;2023;7.256.414
110.;TIANJIN BOHAI CHEMICAL INDUSTRY GROUP CO., LTD;CN;2019;7.235.697
111.;DUCO SPECIALITY COATINGS (PTY) LTD;ZA;2013;7.159.176
112.;BASF ANTWERPEN;BE;2023;6.938.220
113.;KG CHEMICAL CORPORATION;KR;2023;6.928.073
114.;SHISEIDO COMPANY LIMITED;JP;2023;6.907.124
115.;OLIN CORP;US;2023;6.833.000
116.;AIR WATER INC;JP;2023;6.825.931
117.;SHENZHEN WEICHANGXING BLISTER PRODUCTS CO., LTD.;CN;2019;6.822.594
118.;AMIR KABIR PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2022;6.798.912
119.;TOSOH CORPORATION;JP;2023;6.648.860
120.;CF INDUSTRIES HOLDINGS, INC.;US;2023;6.631.000
121.;INNER MONGOLIA SHENTONG FIREWORKS SALES CO., LTD.;CN;2021;6.579.307
122.;FORMOSA PLASTICS CORPORATION;TW;2023;6.485.880
123.;KINGBOARD HOLDINGS LIMITED;KY;2022;6.337.879
124.;HENAN MINGYANG FERTILIZER CO., LTD.;CN;2020;6.317.182
125.;PETRONAS CHEMICALS GROUP BERHAD;MY;2023;6.270.064
126.;SYNGENTA ASIA PACIFIC PTE. LTD.;SG;2022;6.259.773
127.;S. C. JOHNSON & SON INC.;US;2022;6.257.000
128.;CHINA RISUN GROUP LIMITED;KY;2022;6.207.318
129.;NITTO DENKO CORPORATION;JP;2023;6.116.053
130.;HUNTSMAN CORPORATION;US;2023;6.111.000
131.;HUNTSMAN INTERNATIONAL LLC;US;2023;6.111.000
132.;CHURCH & DWIGHT CO INC;US;2023;5.867.900
133.;BASELL POLYOLEFINE GMBH;DE;2022;5.858.897
134.;SATELLTTE CHEMICAL CO., LTD.;CN;2023;5.821.320
135.;NORTH HUAJIN CHEMICAL INDUSTRIES CO.,LTD;CN;2023;5.775.949
136.;LIANFENG STEEL (ZHANGJIAGANG) CO., LTD.;CN;2021;5.715.251
137.;YARA BRASIL FERTILIZANTES S/A;BR;2022;5.708.289
138.;TIANQI LITHIUM CORPORATION;CN;2023;5.686.537
139.;JUHUA GROUP CORPORATION;CN;2022;5.643.751
140.;KG ECO SOLUTION CO., LTD.;KR;2023;5.628.331
141.;SHIRAZ PETROCHEMICALS COMPANY PUBLIC JOINT STOCK;IR;2023;5.575.618
142.;COTY INC.;US;2023;5.554.100
143.;SHAZAND PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2022;5.551.524
144.;KURARAY CO LTD;JP;2023;5.503.051
145.;LUBRIZOL CORP;US;2010;5.417.800
146.;BATU KAWAN BHD;MY;2023;5.378.491
147.;MITSUBISHI GAS CHEMICAL COMPANY,INC.;JP;2023;5.377.964
148.;SYMRISE AG;DE;2023;5.314.911
149.;SHAHID TONDGOOYAN PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2022;5.299.025
150.;LG H&H CO.,LTD.;KR;2023;5.277.524
151.;UPL LIMITED;IN;2023;5.227.176
152.;ZAGROS PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2022;5.220.434
153.;CLARIANT AG;CH;2023;5.210.404
154.;JIANGSU GUOTAI INTERNATIONAL GROUP CO. LTD.;CN;2023;5.205.801
155.;PUPUK INDONESIA, PT (PERSERO);ID;2014;5.201.376
156.;XINJIANG ZHONGTAI CHEMICAL CO.,LTD.;CN;2023;5.151.595
157.;ORICA LIMITED;AU;2023;5.147.349
158.;DOW BENELUX B.V.;NL;2022;5.142.250
159.;KINGBOARD HOLDINGS LIMITED;KY;2023;5.094.515
160.;NOVA CHEMICALS CORPORATION;CA;2012;5.055.000
161.;KANEKA CORPORATION;JP;2023;5.040.013
162.;IMCD N.V.;NL;2023;4.939.544
